group_id	metric_value	users	visits	churn_users	churn_visits
1	1875345.0	155	1419	151	2207
2	1662237.0	138	1320	127	1853
3	1784372.0	128	1281	159	2032
4	1876826.0	163	1644	168	2172
5	1913180.0	156	1675	174	2273
6	1733079.0	144	1509	141	2009
7	1864555.0	151	1481	161	2139
8	2029143.0	162	1533	153	2299
9	2047289.5360000064	143	1424	242	2191
10	2228154.6480000024	179	1803	265	2518
11	1876015.920000006	150	1448	226	2062
12	2102859.2240000064	149	1339	261	2257
13	2079287.3440000066	155	1240	257	2248
14	2127954.0320000057	166	1397	256	2215
15	1887384.920000006	161	1488	224	2015
16	2082370.2000000067	159	1469	273	2287
