	group_id	metric_value	users	visits	churn_users	churn_visits	group
0	8	6630.0	0	0	0	8	A
1	13	6933.976	0	0	1	6	B
2	10	8261.976	1	10	1	8	B
3	4	5522.0	1	9	1	7	A
4	16	5075.976	1	6	0	8	B
5	2	8539.0	0	0	0	8	A
6	8	5714.0	0	0	0	7	A
7	3	7330.0	0	0	0	6	A
8	2	6759.0	1	4	1	7	A
9	12	6963.976	1	1	0	6	B
10	4	6630.0	1	2	0	9	A
11	16	5760.976	0	0	0	9	B
12	13	6812.976	0	0	1	8	B
13	1	6057.0	0	0	1	6	A
14	3	5270.0	0	0	0	9	A
15	3	9056.0	0	0	1	5	A
16	1	7227.0	1	12	1	7	A
17	9	7309.976	0	0	1	8	B
18	12	7254.976	1	22	1	6	B
19	11	7792.976	1	3	1	7	B
20	2	10082.0	0	0	1	6	A
21	11	4623.976	1	8	1	7	B
22	14	6348.976	0	0	1	8	B
23	7	6400.0	0	0	0	9	A
24	10	7739.976	0	0	1	5	B
25	3	5577.0	0	0	0	7	A
26	8	6663.0	0	0	0	9	A
27	15	5181.976	1	0	0	9	B
28	15	8660.976	1	42	1	8	B
29	10	6699.976	1	3	0	9	B
30	16	5686.976	1	11	1	9	B
31	5	6231.0	0	0	1	5	A
32	3	8072.0	0	0	1	5	A
33	10	9890.976	0	0	1	9	B
34	7	4782.0	1	7	0	8	A
35	12	6428.976	1	10	1	5	B
36	15	3608.976	0	0	1	5	B
37	6	7547.0	1	23	0	9	A
38	7	7725.0	1	2	0	7	A
39	4	6454.0	0	0	0	6	A
40	11	7017.976	1	16	1	8	B
41	4	5625.0	0	0	1	7	A
42	10	5422.976	0	0	1	9	B
43	13	7604.976	0	0	1	9	B
44	4	8062.0	0	0	1	9	A
45	5	6552.0	1	36	0	8	A
46	14	4034.976	1	8	1	9	B
47	10	6396.976	1	1	0	6	B
48	16	8196.976	1	5	1	9	B
49	6	5782.0	0	0	0	6	A
50	15	5521.976	0	0	0	6	B
51	13	7690.976	0	0	1	9	B
52	4	6135.0	1	8	1	9	A
53	2	5989.0	1	0	1	6	A
54	9	9039.976	0	0	0	6	B
55	13	7252.976	1	5	1	7	B
56	1	3876.0	1	22	0	6	A
57	5	5848.0	0	0	1	9	A
58	1	6688.0	1	19	0	9	A
59	4	7173.0	1	4	1	9	A
60	10	8229.976	1	4	1	6	B
61	14	6366.976	0	0	1	5	B
62	2	6408.0	0	0	0	8	A
